b'[type, Title: title, Release: release_year, Will be Added: date_added]'
b'[Movie, Title: Dick Johnson Is Dead, Release: 2020, Will be Added: September 25, 2021]'
b'[TV Show, Title: Blood & Water, Release: 2021, Will be Added: September 24, 2021]'
b'[TV Show, Title: Ganglands, Release: 2021, Will be Added: September 24, 2021]'
b'[TV Show, Title: Jailbirds New Orleans, Release: 2021, Will be Added: September 24, 2021]'
b'[TV Show, Title: Kota Factory, Release: 2021, Will be Added: September 24, 2021]'
b'[TV Show, Title: Midnight Mass, Release: 2021, Will be Added: September 24, 2021]'
b'[Movie, Title: My Little Pony: A New Generation, Release: 2021, Will be Added: September 24, 2021]'
b'[Movie, Title: Sankofa, Release: 1993, Will be Added: September 24, 2021]'
b'[TV Show, Title: The Great British Baking Show, Release: 2021, Will be Added: September 24, 2021]'
b'[Movie, Title: The Starling, Release: 2021, Will be Added: September 24, 2021]'
b'[TV Show, Title: Vendetta: Truth, Lies and The Mafia, Release: 2021, Will be Added: September 24, 2021]'
b'[TV Show, Title: Bangkok Breaking, Release: 2021, Will be Added: September 23, 2021]'
b'[Movie, Title: Je Suis Karl, Release: 2021, Will be Added: September 23, 2021]'
b'[Movie, Title: Confessions of an Invisible Girl, Release: 2021, Will be Added: September 22, 2021]'
b'[TV Show, Title: Crime Stories: India Detectives, Release: 2021, Will be Added: September 22, 2021]'
b'[TV Show, Title: Dear White People, Release: 2021, Will be Added: September 22, 2021]'
b"[Movie, Title: Europe's Most Dangerous Man: Otto Skorzeny in Spain, Release: 2020, Will be Added: September 22, 2021]"
b'[TV Show, Title: Falsa identidad, Release: 2020, Will be Added: September 22, 2021]'
b'[Movie, Title: Intrusion, Release: 2021, Will be Added: September 22, 2021]'
b'[TV Show, Title: Jaguar, Release: 2021, Will be Added: September 22, 2021]'
b'[TV Show, Title: Monsters Inside: The 24 Faces of Billy Milligan, Release: 2021, Will be Added: September 22, 2021]'
b'[TV Show, Title: Resurrection: Ertugrul, Release: 2018, Will be Added: September 22, 2021]'
b'[Movie, Title: Avvai Shanmughi, Release: 1996, Will be Added: September 21, 2021]'
b'[Movie, Title: Go! Go! Cory Carson: Chrissy Takes the Wheel, Release: 2021, Will be Added: September 21, 2021]'
b'[Movie, Title: Jeans, Release: 1998, Will be Added: September 21, 2021]'
b'[TV Show, Title: Love on the Spectrum, Release: 2021, Will be Added: September 21, 2021]'
b'[Movie, Title: Minsara Kanavu, Release: 1997, Will be Added: September 21, 2021]'
b'[Movie, Title: Grown Ups, Release: 2010, Will be Added: September 20, 2021]'
b'[Movie, Title: Dark Skies, Release: 2013, Will be Added: September 19, 2021]'
b'[Movie, Title: Paranoia, Release: 2013, Will be Added: September 19, 2021]'
b'[Movie, Title: Ankahi Kahaniya, Release: 2021, Will be Added: September 17, 2021]'
b'[TV Show, Title: Chicago Party Aunt, Release: 2021, Will be Added: September 17, 2021]'
b'[TV Show, Title: Sex Education, Release: 2020, Will be Added: September 17, 2021]'
b'[TV Show, Title: Squid Game, Release: 2021, Will be Added: September 17, 2021]'
b'[TV Show, Title: Tayo and Little Wizards, Release: 2020, Will be Added: September 17, 2021]'
b'[Movie, Title: The Father Who Moves Mountains, Release: 2021, Will be Added: September 17, 2021]'
b'[Movie, Title: The Stronghold, Release: 2021, Will be Added: September 17, 2021]'
b'[TV Show, Title: Angry Birds, Release: 2018, Will be Added: September 16, 2021]'
